id,x,y,color,layer
1,0.06798,-2.78606,blue,1
2,-0.32802,-1.97923,blue,1
3,0.41647,-1.60631,blue,1
4,-0.39434,-1.0481,blue,1
5,0.4156,-0.6754,blue,1
6,-0.41833,-0.18297,blue,1
7,0.41833,0.18297,blue,1
8,-0.4156,0.6754,blue,1
9,0.39434,1.0481,blue,1
10,-0.41647,1.60631,blue,1
11,0.32802,1.97923,blue,1
12,-0.06798,2.78606,blue,1
