u,v,R,G,B
2,8,141,255,141
2,9,0,255,0
2,10,141,255,141
3,10,141,255,141
3,11,1,255,1
3,12,141,255,141
4,12,141,255,141
4,13,1,255,1
4,14,141,255,141
5,14,141,255,141
5,15,1,255,1
5,16,141,255,141
6,16,141,255,141
6,17,1,255,1
6,18,141,255,141
7,8,141,255,141
7,18,141,255,141
7,19,1,255,1
