(0,0,0) (0,0,0) (0,1,0) (0,1,0) (0,2,0) (0,2,0) (0,3,0) (0,3,0) (0,4,0) (0,4,0) (0,5,0) (0,5,0) (0,6,0) (0,6,0) (0,7,0) (0,7,0) (0,8,0) (0,8,0) (0,9,0) (0,9,0) (0,10,0) (0,10,0) (0,11,0) (0,11,0) (0,12,0) (0,12,0)

(0,0,0) (0,0,0.0) (0,1,0.0) (0,1,0.9375) (0,2,0.9375) (0,2,0.0259) (0,3,0.0259) (0,3,0.0221) (0,4,0.0221) (0,4,0.0091) (0,5,0.0091) (0,5,0.0054) (0,6,0.0054) (0,6,0.0035) (0,7,0.0035) (0,7,0.0024) (0,8,0.0024) (0,8,0.0019) (0,9,0.0019) (0,9,0.0014) (0,10,0.0014) (0,10,0.0015) (0,11,0.0015) (0,11,0.0013) (0,12,0.0013) (0,12,0)

(1,0,0) (1,0,0.0) (1,1,0.0) (1,1,0.9375) (1,2,0.9375) (1,2,0.0259) (1,3,0.0259) (1,3,0.0221) (1,4,0.0221) (1,4,0.0091) (1,5,0.0091) (1,5,0.0054) (1,6,0.0054) (1,6,0.0035) (1,7,0.0035) (1,7,0.0024) (1,8,0.0024) (1,8,0.0019) (1,9,0.0019) (1,9,0.0014) (1,10,0.0014) (1,10,0.0015) (1,11,0.0015) (1,11,0.0013) (1,12,0.0013) (1,12,0)

(1,0,0) (1,0,0.9375) (1,1,0.9375) (1,1,0.0) (1,2,0.0) (1,2,1.0) (1,3,1.0) (1,3,0.0208) (1,4,0.0208) (1,4,0.0221) (1,5,0.0221) (1,5,0.0095) (1,6,0.0095) (1,6,0.0054) (1,7,0.0054) (1,7,0.0033) (1,8,0.0033) (1,8,0.0025) (1,9,0.0025) (1,9,0.0018) (1,10,0.0018) (1,10,0.0017) (1,11,0.0017) (1,11,0.0015) (1,12,0.0015) (1,12,0)

(2,0,0) (2,0,0.9375) (2,1,0.9375) (2,1,0.0) (2,2,0.0) (2,2,1.0) (2,3,1.0) (2,3,0.0208) (2,4,0.0208) (2,4,0.0221) (2,5,0.0221) (2,5,0.0095) (2,6,0.0095) (2,6,0.0054) (2,7,0.0054) (2,7,0.0033) (2,8,0.0033) (2,8,0.0025) (2,9,0.0025) (2,9,0.0018) (2,10,0.0018) (2,10,0.0017) (2,11,0.0017) (2,11,0.0015) (2,12,0.0015) (2,12,0)

