u,v,R,G,B
1,2,211,255,211
2,3,1,255,1
2,4,234,255,234
3,5,198,255,198
4,5,125,255,125
4,6,178,255,178
5,6,253,255,253
5,7,152,255,152
6,7,152,255,152
6,8,152,255,152
7,8,253,255,253
7,9,178,255,178
8,9,125,255,125
8,10,198,255,198
9,11,234,255,234
10,11,0,255,0
11,12,211,255,211
