u,v,R,G,B
14,18,222.29,200.94,226.12
15,18,228.1,208.31,230.04
16,19,226.65,206.47,229.06
16,20,227.59,242.47,223.71
16,21,227.59,242.47,223.71
18,21,156.22,116.16,173.82
