u,v,R,G,B
13,15,255,221,221
13,16,255,239,239
14,17,255,237,237
14,18,255,237,237
15,19,255,235,235
16,20,255,234,234
17,21,255,234,234
18,22,255,235,235
19,23,255,237,237
20,23,255,237,237
21,24,255,239,239
22,24,255,221,221
