0.01	-21.63206979617667
0.02	-30.592366487954436
0.03	-37.467843959854115
0.04	-43.26413959235334
0.05	-48.37077855827105
0.060000000000000005	-52.98753308090457
0.06999999999999999	-57.23307702427513
0.08	-61.18473297590887
0.09	-64.89620938853007
0.09999999999999999	-68.40661105965262
0.11	-71.74545895269783
0.12	-74.93568791970823
0.13	-77.99553684453083
0.14	-80.93979374407391
0.15000000000000002	-83.78064606458867
0.16	-86.52827918470668
0.17	-89.19130867036988
0.18000000000000002	-91.77709946386328
0.19	-94.29200618115266
0.2	-96.7415571165421
0.21000000000000002	-99.13059727954759
0.22	-101.46340108958745
0.23	-103.74376224300502
0.24000000000000002	-105.97506616180914
0.25	-108.16034898088336
0.26	-110.30234601010591
0.27	-112.40353187956237
0.28	-114.46615404855032
0.29000000000000004	-116.49226097184791
0.3	-118.48372592892136
0.31	-120.44226730540416
0.32	-122.36946595181774
0.33	-124.26678011842003
0.34	-126.13555836744217
0.35000000000000003	-127.97705078776065
0.36000000000000004	-129.79241877706013
0.37	-131.5827436089793
0.38	-133.34903396475377
0.39	-135.0922325783378
0.4	-136.8132221193053
0.41000000000000003	-138.51283041773786
0.42000000000000004	-140.19183511888158
0.43	-141.85096784183852
0.44	-143.49091790539566
0.45	-145.1123356748132
0.46	-146.7158355756675
0.47000000000000003	-148.30199881435507
0.48000000000000004	-149.87137583941652
0.49	-151.4244885732367
0.5	-152.96183243977217
0.51	-154.48387821063932
0.52	-155.99107368906166
0.53	-157.48384524875226
0.54	-158.96259924271365
0.55	-160.42772329515327
0.56	-161.87958748814782
0.5700000000000001	-163.31854545335494
0.5800000000000001	-164.74493537789328
0.59	-166.15908093249945
0.6	-167.56129212917736
0.61	-168.9518661147789
0.62	-170.33108790626824
0.63	-171.6992310728255
0.64	-173.05655836941335
0.65	-174.4033223259604
0.66	-175.73976579590484
0.67	-177.06612246747304
0.68	-178.38261734073976
0.6900000000000001	-179.6894671732305
0.7000000000000001	-180.98688089656156
0.7100000000000001	-182.27506000638914
0.72	-183.55419892772656
0.73	-184.8244853575037
0.74	-186.08610058608025
0.75	-187.3392197992706
0.76	-188.58401236230532
0.77	-189.82064208703108
0.78	-191.04926748354572
0.79	-192.27004199735865
0.8	-193.4831142330842
0.81	-194.68862816559002
0.8200000000000001	-195.88672333944956
0.8300000000000001	-197.0775350574811
0.8400000000000001	-198.26119455909517
0.85	-199.43782918911344
0.86	-200.60756255767794
0.87	-201.77051469181342
0.88	-202.9268021791749
0.89	-204.07653830446225
0.9	-205.21983317895794
0.91	-206.356793863604
0.92	-207.48752448601005
0.93	-208.61212635175175
0.9400000000000001	-209.73069805029954
0.9500000000000001	-210.84333555588768
0.9600000000000001	-211.95013232361828
0.97	-213.05117938107247
0.98	-214.14656541568104
0.99	-215.23637685809342
1.	-216.3206979617667
