u,v,R,G,B
1,2,255,101,101
2,3,112,112,255
2,4,255,137,137
3,4,11,11,255
3,5,255,104,104
4,5,65,65,255
4,6,255,97,97
5,6,1,1,255
5,7,255,80,80
6,7,47,47,255
6,8,255,80,80
7,8,0,0,255
7,9,255,97,97
8,9,65,65,255
8,10,255,104,104
9,10,11,11,255
9,11,255,137,137
10,11,112,112,255
11,12,255,101,101
