u,v,R,G,B
1,3,187,255,187
1,4,224,255,224
1,5,239,255,239
2,5,221,255,221
2,6,223,255,223
2,7,242,255,242
3,6,237,255,237
3,7,217,255,217
4,7,237,255,237
4,8,215,255,215
5,8,237,255,237
5,9,215,255,215
6,9,237,255,237
6,10,217,255,217
6,11,242,255,242
7,10,237,255,237
7,11,223,255,223
8,11,221,255,221
8,12,239,255,239
9,12,224,255,224
10,12,187,255,187
